instant,heading,roll,pitch
59.733,2.152414,-0.1051,-0.068843
59.833,2.152445,-0.094527,-0.087684
59.933,2.150688,-0.090914,-0.102588
60.033,2.149303,-0.079508,-0.117797
60.134,2.145733,-0.080321,-0.120893
60.236,2.142657,-0.078883,-0.111799
60.336,2.138935,-0.085388,-0.09892
60.434,2.136892,-0.089112,-0.079532
60.533,2.136919,-0.095363,-0.054034
60.633,2.139863,-0.099312,-0.020937
60.733,2.145689,-0.106702,0.006412
60.833,2.153108,-0.116619,0.025305
60.933,2.158579,-0.12334,0.01898
61.033,2.163977,-0.126339,0.007247
61.134,2.168294,-0.127154,-0.012187
61.232,2.171215,-0.12857,-0.032216
61.332,2.172465,-0.12846,-0.05953
61.432,2.172575,-0.131009,-0.082968
61.532,2.170051,-0.13828,-0.11234
61.632,2.163711,-0.144678,-0.13857
61.731,2.157474,-0.138548,-0.150628
61.831,2.150292,-0.137217,-0.148154
61.931,2.143836,-0.142718,-0.123869
62.031,2.140734,-0.153883,-0.084519
62.132,2.138678,-0.164981,-0.042243
62.232,2.137108,-0.179227,-0.013202
62.331,2.137484,-0.194979,0.015124
62.430,2.139739,-0.202554,0.031372
62.530,2.142987,-0.210192,0.042567
62.631,2.145943,-0.219898,0.038125
62.731,2.148645,-0.222183,0.026019
62.831,2.151465,-0.22448,0.007481
62.931,2.152967,-0.221692,-0.010416
63.031,2.154048,-0.211512,-0.03143
63.130,2.154816,-0.197469,-0.056839
63.229,2.155525,-0.185243,-0.080731
63.331,2.154979,-0.175017,-0.099381
63.430,2.155883,-0.159706,-0.10183
63.534,2.159231,-0.135275,-0.093717
63.635,2.164858,-0.115193,-0.073349
63.729,2.171593,-0.101198,-0.060599
63.829,2.179224,-0.08585,-0.059006
63.929,2.185406,-0.078196,-0.063334
64.029,2.191442,-0.075176,-0.071605
64.129,2.194622,-0.075274,-0.079767
64.228,2.196982,-0.068767,-0.084907
64.329,2.19693,-0.076464,-0.097379
64.428,2.194147,-0.084408,-0.107916
64.528,2.189077,-0.100729,-0.107007
64.628,2.182443,-0.116206,-0.095185
64.728,2.177187,-0.128265,-0.069325
64.828,2.176011,-0.137522,-0.033692
64.931,2.17586,-0.143851,-0.011391
65.028,2.176918,-0.150727,-0.005125
65.127,2.17696,-0.159436,-0.007366
65.228,2.177557,-0.161626,-0.013198
65.327,2.179901,-0.162696,-0.016857
65.427,2.181466,-0.163095,-0.024246
65.527,2.183671,-0.155966,-0.035901
65.628,2.18809,-0.142697,-0.050099
65.729,2.191128,-0.131733,-0.059554
65.830,2.193763,-0.127105,-0.054079
65.927,2.197548,-0.117263,-0.0459
66.028,2.200368,-0.114756,-0.043448
66.127,2.199487,-0.126627,-0.044406
66.227,2.196134,-0.14495,-0.040341
66.326,2.194538,-0.150984,-0.026197
66.426,2.192121,-0.164897,-0.019563
66.527,2.192249,-0.169379,-0.011998
66.628,2.191989,-0.178547,-0.01718
66.726,2.192514,-0.188433,-0.02198
